# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\joey3\Desktop\ECE385\lab6\lab6_PINS.csv
# Generated on: Fri Oct 11 21:42:26 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
LB,Output,PIN_AD4,3,B3_N2,PIN_F15,,,,,,
LED[11],Output,PIN_H16,7,B7_N2,PIN_AB22,,,,,,
LED[10],Output,PIN_J15,7,B7_N2,PIN_AE27,,,,,,
LED[9],Output,PIN_G17,7,B7_N1,PIN_AD28,,,,,,
LED[8],Output,PIN_J17,7,B7_N2,PIN_AE23,,,,,,
LED[7],Output,PIN_H19,7,B7_N2,PIN_AC21,,,,,,
LED[6],Output,PIN_J19,7,B7_N2,PIN_AD21,,,,,,
LED[5],Output,PIN_E18,7,B7_N1,PIN_AD25,,,,,,
LED[4],Output,PIN_F18,7,B7_N1,PIN_V27,,,,,,
LED[3],Output,PIN_F21,7,B7_N0,PIN_V28,,,,,,
LED[2],Output,PIN_E19,7,B7_N0,PIN_AA23,,,,,,
LED[1],Output,PIN_F19,7,B7_N0,PIN_AE24,,,,,,
LED[0],Output,PIN_G19,7,B7_N2,PIN_AD26,,,,,,
OE,Output,PIN_AD5,3,B3_N2,PIN_U27,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_V22,,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_AA22,,,,,,
S[15],Input,PIN_AA22,5,B5_N2,PIN_R26,,,,,,
S[14],Input,PIN_AA23,5,B5_N2,PIN_AE26,,,,,,
S[13],Input,PIN_AA24,5,B5_N2,PIN_N26,,,,,,
S[12],Input,PIN_AB23,5,B5_N2,PIN_T25,,,,,,
S[11],Input,PIN_AB24,5,B5_N2,PIN_R28,,,,,,
S[10],Input,PIN_AC24,5,B5_N2,PIN_T26,,,,,,
S[9],Input,PIN_AB25,5,B5_N1,PIN_Y24,,,,,,
S[8],Input,PIN_AC25,5,B5_N2,PIN_AC24,,,,,,
S[7],Input,PIN_AB26,5,B5_N1,PIN_P27,,,,,,
S[6],Input,PIN_AD26,5,B5_N2,PIN_R24,,,,,,
S[5],Input,PIN_AC26,5,B5_N2,PIN_R22,,,,,,
S[4],Input,PIN_AB27,5,B5_N1,PIN_AA24,,,,,,
S[3],Input,PIN_AD27,5,B5_N2,PIN_R23,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_AB23,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_R27,,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_P25,,,,,,
UB,Output,PIN_AC4,2,B2_N2,PIN_AA12,,,,,,
WE,Output,PIN_AE8,3,B3_N1,PIN_R25,,,,,,
